FREQ,FREQ_LABEL,REF_AREA,Country,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,TYPE,TYPE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2019,2021,2024
A,Annual,AUT,Austria,WEF_TTDI_TTDI_A_02,"Safety and Security, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,6.256694832039999,6.506699326460759,6.016927290504675
A,Annual,AZE,Azerbaijan,WEF_TTDI_TTDI_A_02,"Safety and Security, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,39.0,82.0,83.0
A,Annual,AZE,Azerbaijan,WEF_TTDI_TTDI_A_02,"Safety and Security, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,5.880766586438336,5.211435702040001,5.258591524166798
A,Annual,AZE,Azerbaijan,WEF_TTDI_TTDI_A_02,"Safety and Security, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,5.880766586438336,5.211435702040001,5.258591524166798
A,Annual,BEL,Belgium,WEF_TTDI_TTDI_A_02,"Safety and Security, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,55.0,61.0,48.0
A,Annual,BEL,Belgium,WEF_TTDI_TTDI_A_02,"Safety and Security, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,5.666398899896376,5.662134516376375,5.873278663871976
A,Annual,BEL,Belgium,WEF_TTDI_TTDI_A_02,"Safety and Security, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,5.666398899896376,5.662134516376375,5.873278663871976
A,Annual,BEN,Benin,WEF_TTDI_TTDI_A_02,"Safety and Security, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,53.0,53.0,96.0
A,Annual,BEN,Benin,WEF_TTDI_TTDI_A_02,"Safety and Security, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,5.67990010372,5.749377353274634,5.013309651847644
A,Annual,BEN,Benin,WEF_TTDI_TTDI_A_02,"Safety and Security, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,5.67990010372,5.749377353274634,5.013309651847644
A,Annual,BGD,Bangladesh,WEF_TTDI_TTDI_A_02,"Safety and Security, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,70.0,73.0,61.0
A,Annual,BGD,Bangladesh,WEF_TTDI_TTDI_A_02,"Safety and Security, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,5.409430759908581,5.425151307744636,5.665319268303891
A,Annual,BGD,Bangladesh,WEF_TTDI_TTDI_A_02,"Safety and Security, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,5.409430759908581,5.425151307744636,5.665319268303891
A,Annual,BGR,Bulgaria,WEF_TTDI_TTDI_A_02,"Safety and Security, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,56.0,58.0,57.0
A,Annual,BGR,Bulgaria,WEF_TTDI_TTDI_A_02,"Safety and Security, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,5.64301623356,5.71217333624,5.733880805504898
A,Annual,BGR,Bulgaria,WEF_TTDI_TTDI_A_02,"Safety and Security, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,5.64301623356,5.71217333624,5.733880805504898
A,Annual,BHR,Bahrain,WEF_TTDI_TTDI_A_02,"Safety and Security, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,61.0,51.0,38.0
A,Annual,BHR,Bahrain,WEF_TTDI_TTDI_A_02,"Safety and Security, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,5.6023687756000005,5.7800887756,5.9874321024088335
A,Annual,BHR,Bahrain,WEF_TTDI_TTDI_A_02,"Safety and Security, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,5.6023687756000005,5.7800887756,5.9874321024088335
A,Annual,BIH,Bosnia and Herzegovina,WEF_TTDI_TTDI_A_02,"Safety and Security, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,48.0,37.0,37.0
A,Annual,BIH,Bosnia and Herzegovina,WEF_TTDI_TTDI_A_02,"Safety and Security, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,5.78116405788,5.9568275896000005,6.000867554096785
A,Annual,BIH,Bosnia and Herzegovina,WEF_TTDI_TTDI_A_02,"Safety and Security, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,5.78116405788,5.9568275896000005,6.000867554096785
A,Annual,BOL,Bolivia,WEF_TTDI_TTDI_A_02,"Safety and Security, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,93.0,96.0,90.0
A,Annual,BOL,Bolivia,WEF_TTDI_TTDI_A_02,"Safety and Security, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,4.92126502224,4.91586502224,5.074762082316181
